id,value
"Business Teachers, Postsecondary",96770
"Computer Science Teachers, Postsecondary",89670
"Mathematical Science Teachers, Postsecondary",82650
"Architecture Teachers, Postsecondary",92890
"Engineering Teachers, Postsecondary",107490
"Agricultural Sciences Teachers, Postsecondary",96630
"Biological Science Teachers, Postsecondary",90420
"Forestry and Conservation Science Teachers, Postsecondary",90480
"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",95900
"Chemistry Teachers, Postsecondary",89320
"Environmental Science Teachers, Postsecondary",88880
"Physics Teachers, Postsecondary",97520
"Anthropology and Archeology Teachers, Postsecondary",91940
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",84590
"Economics Teachers, Postsecondary",111520
"Geography Teachers, Postsecondary",84660
"Political Science Teachers, Postsecondary",94090
"Psychology Teachers, Postsecondary",84440
"Sociology Teachers, Postsecondary",81600
"Social Sciences Teachers, Postsecondary, All Other",85950
"Health Specialties Teachers, Postsecondary",125430
"Nursing Instructors and Teachers, Postsecondary",75030
"Education Teachers, Postsecondary",70260
"Library Science Teachers, Postsecondary",72340
"Criminal Justice and Law Enforcement Teachers, Postsecondary",67040
"Law Teachers, Postsecondary",134530
"Social Work Teachers, Postsecondary",74280
"Art, Drama, and Music Teachers, Postsecondary",81050
"Communications Teachers, Postsecondary",74360
"English Language and Literature Teachers, Postsecondary",76140
"Foreign Language and Literature Teachers, Postsecondary",73750
"History Teachers, Postsecondary",80880
"Philosophy and Religion Teachers, Postsecondary",77420
Graduate Teaching Assistants,35810
"Home Economics Teachers, Postsecondary",72790
"Recreation and Fitness Studies Teachers, Postsecondary",67870
"Vocational Education Teachers, Postsecondary",55730
"Postsecondary Teachers, All Other",73990
"Preschool Teachers, Except Special Education",33300
"Kindergarten Teachers, Except Special Education",55460
"Elementary School Teachers, Except Special Education",59020
"Middle School Teachers, Except Special and Career/Technical Education",59800
"Career/Technical Education Teachers, Middle School",60350
"Secondary School Teachers, Except Special and Career/Technical Education",61420
"Career/Technical Education Teachers, Secondary School",59480
"Special Education Teachers, Preschool",56990
"Special Education Teachers, Kindergarten and Elementary School",60090
"Special Education Teachers, Middle School",61910
"Special Education Teachers, Secondary School",64020
"Special Education Teachers, All Other",59450
Adult Basic and Secondary Education and Literacy Teachers and Instructors,55140
Self-Enrichment Education Teachers,43150
"Teachers and Instructors, All Other, Except Substitute Teachers",47570
Substitute Teachers,30900
Archivists,54570
Curators,58910
Museum Technicians and Conservators,44780
Librarians,59870
Library Technicians,34780
Audio-Visual and Multimedia Collections Specialists,50130
Farm and Home Management Advisors,52150
Instructional Coordinators,65500
Teacher Assistants,27120
"Education, Training, and Library Workers, All Other",46970
Art Directors,101170
Craft Artists,38900
"Fine Artists, Including Painters, Sculptors, and Illustrators",57410
Multimedia Artists and Animators,72200
"Artists and Related Workers, All Other",64630
Commercial and Industrial Designers,70880
Fashion Designers,76480
Floral Designers,27610
Graphic Designers,52290
Interior Designers,56220
Merchandise Displayers and Window Trimmers,30090
Set and Exhibit Designers,57600
"Designers, All Other",63270
Producers and Directors,93840
Athletes and Sports Competitors,83730
Coaches and Scouts,41000
"Umpires, Referees, and Other Sports Officials",35540
Choreographers,53610
Music Directors and Composers,60630
Radio and Television Announcers,48170
Public Address System and Other Announcers,42740
Broadcast News Analysts,78200
Reporters and Correspondents,49770
Public Relations Specialists,66540
Editors,66080
Technical Writers,73160
Writers and Authors,71920
Interpreters and Translators,51260
"Media and Communication Workers, All Other",50860
Audio and Video Equipment Technicians,47450
Broadcast Technicians,45430
Radio Operators,46780
Sound Engineering Technicians,65240
Photographers,42640
"Camera Operators, Television, Video, and Motion Picture",63200
Film and Video Editors,82190
"Media and Communication Equipment Workers, All Other",76500
Chiropractors,81210
"Dentists, General",173860
Oral and Maxillofacial Surgeons,232870
Orthodontists,228780
Prosthodontists,168140
"Dentists, All Other Specialists",171900
Dietitians and Nutritionists,59670
Optometrists,117580
Pharmacists,120270
Anesthesiologists,269600
Family and General Practitioners,200810
"Internists, General",201840
Obstetricians and Gynecologists,234310
"Pediatricians, General",184240
Psychiatrists,200220
Surgeons,252910
"Physicians and Surgeons, All Other",205560
Physician Assistants,102090
Podiatrists,144110
Occupational Therapists,83730
Physical Therapists,87220
Radiation Therapists,84980
Recreational Therapists,48190
Respiratory Therapists,60640
Speech-Language Pathologists,78210
Exercise Physiologists,50310
"Therapists, All Other",60590
Veterinarians,100560
Registered Nurses,72180
Nurse Anesthetists,164030
Nurse Midwives,102390
Nurse Practitioners,104610
Audiologists,79290
"Health Diagnosing and Treating Practitioners, All Other",84800
Medical and Clinical Laboratory Technologists,62440
Medical and Clinical Laboratory Technicians,41700
Dental Hygienists,73440
Cardiovascular Technologists and Technicians,57100
Diagnostic Medical Sonographers,71750
Nuclear Medicine Technologists,75960
Radiologic Technologists,59260
Magnetic Resonance Imaging Technologists,69240
Emergency Medical Technicians and Paramedics,36110
Dietetic Technicians,29360
Pharmacy Technicians,32170
Psychiatric Technicians,35870
Respiratory Therapy Technicians,50520
Surgical Technologists,46800
Veterinary Technologists and Technicians,33870
Ophthalmic Medical Technicians,37040
Licensed Practical and Licensed Vocational Nurses,44840
Medical Records and Health Information Technicians,41460
"Opticians, Dispensing",37860
Orthotists and Prosthetists,69920
Hearing Aid Specialists,53000
"Health Technologists and Technicians, All Other",46020
Occupational Health and Safety Specialists,72480
Occupational Health and Safety Technicians,52520
Athletic Trainers,47880
Genetic Counselors,74960
"Healthcare Practitioners and Technical Workers, All Other",57960
Home Health Aides,23600
Psychiatric Aides,28770
Nursing Assistants,27650
Orderlies,28550
Occupational Therapy Assistants,59530
Occupational Therapy Aides,31840
Physical Therapist Assistants,56850
Physical Therapist Aides,27890
Massage Therapists,44480
Dental Assistants,37890
Medical Assistants,32850
Medical Equipment Preparers,35960
Medical Transcriptionists,37150
Pharmacy Aides,28420
Veterinary Assistants and Laboratory Animal Caretakers,26810
Phlebotomists,33750
"Healthcare Support Workers, All Other",37720
First-Line Supervisors of Correctional Officers,65100
First-Line Supervisors of Police and Detectives,88400
First-Line Supervisors of Fire Fighting and Prevention Workers,77050
"First-Line Supervisors of Protective Service Workers, All Other",50690
Firefighters,50520
Fire Inspectors and Investigators,61660
Forest Fire Inspectors and Prevention Specialists,44300
Bailiffs,45740
Correctional Officers and Jailers,46750
Detectives and Criminal Investigators,81490
Fish and Game Wardens,54760
Parking Enforcement Workers,39650
Police and Sheriff's Patrol Officers,62760
Transit and Railroad Police,67850
Animal Control Workers,36600
Private Detectives and Investigators,53530
Gaming Surveillance Officers and Gaming Investigators,35280
Security Guards,29730
Crossing Guards,29190
"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",22640
Transportation Security Screeners,40160
"Protective Service Workers, All Other",32880
Chefs and Head Cooks,47390
First-Line Supervisors of Food Preparation and Serving Workers,34700
"Cooks, Fast Food",20570
"Cooks, Institution and Cafeteria",26370
"Cooks, Private Household",42220
"Cooks, Restaurant",25430
"Cooks, Short Order",23130
"Cooks, All Other",29210
Food Preparation Workers,22920
Bartenders,25580
"Combined Food Preparation and Serving Workers, Including Fast Food",20460
"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",21380
Waiters and Waitresses,24410
"Food Servers, Nonrestaurant",23490
Dining Room and Cafeteria Attendants and Bartender Helpers,22340
Dishwashers,21260
"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",21410
"Food Preparation and Serving Related Workers, All Other",23200
First-Line Supervisors of Housekeeping and Janitorial Workers,41240
"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",48790
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",27030
Maids and Housekeeping Cleaners,23830
"Building Cleaning Workers, All Other",30960
Pest Control Workers,35020
Landscaping and Groundskeeping Workers,28560
"Pesticide Handlers, Sprayers, and Applicators, Vegetation",35720
Tree Trimmers and Pruners,37310
"Grounds Maintenance Workers, All Other",32930
Gaming Supervisors,50810
Slot Supervisors,38300
First-Line Supervisors of Personal Service Workers,39830
Animal Trainers,34580
Nonfarm Animal Caretakers,24420
Gaming Dealers,21990
Gaming and Sports Book Writers and Runners,25710
"Gaming Service Workers, All Other",28300
Motion Picture Projectionists,24750
"Ushers, Lobby Attendants, and Ticket Takers",21740
Amusement and Recreation Attendants,22000
Costume Attendants,50470
"Locker Room, Coatroom, and Dressing Room Attendants",24390
"Entertainment Attendants and Related Workers, All Other",24610
Embalmers,42260
Funeral Attendants,27110
"Morticians, Undertakers, and Funeral Directors",54700
Barbers,29900
"Hairdressers, Hairstylists, and Cosmetologists",29590
"Makeup Artists, Theatrical and Performance",71590
Manicurists and Pedicurists,24330
Shampooers,20960
Skincare Specialists,35160
Baggage Porters and Bellhops,24910
Concierges,31440
Tour Guides and Escorts,28100
Travel Guides,35930
Childcare Workers,22930
Personal Care Aides,22710
Fitness Trainers and Aerobics Instructors,42780
Recreation Workers,27230
Residential Advisors,27690
"Personal Care and Service Workers, All Other",27460
First-Line Supervisors of Retail Sales Workers,43910
First-Line Supervisors of Non-Retail Sales Workers,85830
Cashiers,21680
Gaming Change Persons and Booth Cashiers,25940
Counter and Rental Clerks,29390
Parts Salespersons,33220
Retail Salespersons,27180
Advertising Sales Agents,63660
Insurance Sales Agents,67760
"Securities, Commodities, and Financial Services Sales Agents",102260
Travel Agents,39900
"Sales Representatives, Services, All Other",63070
"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",92910
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",68410
Demonstrators and Product Promoters,30570
Models,36560
Real Estate Brokers,79340
Real Estate Sales Agents,59360
Sales Engineers,108880
Telemarketers,27170
"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",28630
"Sales and Related Workers, All Other",43330
First-Line Supervisors of Office and Administrative Support Workers,57890
"Switchboard Operators, Including Answering Service",29720
Telephone Operators,43030
"Communications Equipment Operators, All Other",41910
Bill and Account Collectors,37620
Billing and Posting Clerks,37570
"Bookkeeping, Accounting, and Auditing Clerks",40220
Gaming Cage Workers,28120
Payroll and Timekeeping Clerks,43580
Procurement Clerks,41980
Tellers,28060
"Financial Clerks, All Other",41870
Brokerage Clerks,52380
Correspondence Clerks,37660
"Court, Municipal, and License Clerks",39160
"Credit Authorizers, Checkers, and Clerks",39320
Customer Service Representatives,35170
"Eligibility Interviewers, Government Programs",43550
File Clerks,31260
"Hotel, Motel, and Resort Desk Clerks",23530
"Interviewers, Except Eligibility and Loan",33640
"Library Assistants, Clerical",27450
Loan Interviewers and Clerks,40300
New Accounts Clerks,36480
Order Clerks,35160
"Human Resources Assistants, Except Payroll and Timekeeping",40100
Receptionists and Information Clerks,29120
Reservation and Transportation Ticket Agents and Travel Clerks,38050
"Information and Record Clerks, All Other",40090
Cargo and Freight Agents,44250
Couriers and Messengers,29920
"Police, Fire, and Ambulance Dispatchers",41070
"Dispatchers, Except Police, Fire, and Ambulance",41190
"Meter Readers, Utilities",41890
Postal Service Clerks,48360
Postal Service Mail Carriers,50610
"Postal Service Mail Sorters, Processors, and Processing Machine Operators",49710
"Production, Planning, and Expediting Clerks",49050
"Shipping, Receiving, and Traffic Clerks",33150
Stock Clerks and Order Fillers,26670
"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",31080
Executive Secretaries and Executive Administrative Assistants,57910
Legal Secretaries,47900
Medical Secretaries,35060
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",36140
Computer Operators,43880
Data Entry Keyers,31640
Word Processors and Typists,39970
Desktop Publishers,44380
Insurance Claims and Policy Processing Clerks,40780
"Mail Clerks and Mail Machine Operators, Except Postal Service",30580
"Office Clerks, General",33010
"Office Machine Operators, Except Computer",32390
Proofreaders and Copy Markers,39640
Statistical Assistants,48300
"Office and Administrative Support Workers, All Other",36040
"First-Line Supervisors of Farming, Fishing, and Forestry Workers",48820
Agricultural Inspectors,44260
Animal Breeders,42340
"Graders and Sorters, Agricultural Products",24280
Agricultural Equipment Operators,30430
"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",23820
"Farmworkers, Farm, Ranch, and Aquacultural Animals",26840
"Agricultural Workers, All Other",35120
Fishers and Related Fishing Workers,30740
Forest and Conservation Workers,31200
Fallers,42900
Logging Equipment Operators,38880
Log Graders and Scalers,38150
"Logging Workers, All Other",40560
First-Line Supervisors of Construction Trades and Extraction Workers,68040
Boilermakers,62200
Brickmasons and Blockmasons,53440
Stonemasons,43650
Carpenters,48340
Carpet Installers,44310
"Floor Layers, Except Carpet, Wood, and Hard Tiles",42370
Floor Sanders and Finishers,38890
Tile and Marble Setters,44770
Cement Masons and Concrete Finishers,43720
Terrazzo Workers and Finishers,45990
Construction Laborers,37890
"Paving, Surfacing, and Tamping Equipment Operators",43800
Pile-Driver Operators,61740
Operating Engineers and Other Construction Equipment Operators,50560
Drywall and Ceiling Tile Installers,47400
Tapers,53790
Electricians,56650
Glaziers,47260
"Insulation Workers, Floor, Ceiling, and Wall",39490
"Insulation Workers, Mechanical",51100
"Painters, Construction and Maintenance",41510
Paperhangers,36470
Pipelayers,42860
"Plumbers, Pipefitters, and Steamfitters",56030
Plasterers and Stucco Masons,44070
Reinforcing Iron and Rebar Workers,53600
Roofers,42080
Sheet Metal Workers,51080
Structural Iron and Steel Workers,56040
Solar Photovoltaic Installers,42500
"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",33610
Helpers--Carpenters,30200
Helpers--Electricians,30980
"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",28760
"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",30640
Helpers--Roofers,28890
"Helpers, Construction Trades, All Other",31450
Construction and Building Inspectors,61250
Elevator Installers and Repairers,76860
Fence Erectors,36380
Hazardous Materials Removal Workers,45500
Highway Maintenance Workers,39540
Rail-Track Laying and Maintenance Equipment Operators,52810
Septic Tank Servicers and Sewer Pipe Cleaners,38870
Segmental Pavers,34160
"Construction and Related Workers, All Other",40480
"Derrick Operators, Oil and Gas",51140
"Rotary Drill Operators, Oil and Gas",57140
"Service Unit Operators, Oil, Gas, and Mining",53520
"Earth Drillers, Except Oil and Gas",51240
"Explosives Workers, Ordnance Handling Experts, and Blasters",54580
Continuous Mining Machine Operators,52650
Mine Cutting and Channeling Machine Operators,50670
"Mining Machine Operators, All Other",50220
"Rock Splitters, Quarry",34860
"Roof Bolters, Mining",58110
"Roustabouts, Oil and Gas",40480
Helpers--Extraction Workers,37160
"Extraction Workers, All Other",51170
"First-Line Supervisors of Mechanics, Installers, and Repairers",66730
"Computer, Automated Teller, and Office Machine Repairers",39410
"Radio, Cellular, and Tower Equipment Installers and Repairers",53620
"Telecommunications Equipment Installers and Repairers, Except Line Installers",54520
Avionics Technicians,61390
"Electric Motor, Power Tool, and Related Repairers",44720
"Electrical and Electronics Installers and Repairers, Transportation Equipment",59840
"Electrical and Electronics Repairers, Commercial and Industrial Equipment",56990
"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",74540
"Electronic Equipment Installers and Repairers, Motor Vehicles",34200
Electronic Home Entertainment Equipment Installers and Repairers,39340
Security and Fire Alarm Systems Installers,45660
Aircraft Mechanics and Service Technicians,61190
Automotive Body and Related Repairers,45180
Automotive Glass Installers and Repairers,36140
Automotive Service Technicians and Mechanics,41400
Bus and Truck Mechanics and Diesel Engine Specialists,46710
Farm Equipment Mechanics and Service Technicians,39310
"Mobile Heavy Equipment Mechanics, Except Engines",50810
Rail Car Repairers,53590
Motorboat Mechanics and Service Technicians,40860
Motorcycle Mechanics,37040
Outdoor Power Equipment and Other Small Engine Mechanics,35320
Bicycle Repairers,28520
Recreational Vehicle Service Technicians,38040
Tire Repairers and Changers,27150
Mechanical Door Repairers,40420
"Control and Valve Installers and Repairers, Except Mechanical Door",56180
"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",48320
Home Appliance Repairers,40390
Industrial Machinery Mechanics,51890
"Maintenance Workers, Machinery",46000
Millwrights,53950
"Refractory Materials Repairers, Except Brickmasons",47000
Electrical Power-Line Installers and Repairers,67160
Telecommunications Line Installers and Repairers,54700
Camera and Photographic Equipment Repairers,43920
Medical Equipment Repairers,50910
Musical Instrument Repairers and Tuners,37690
Watch Repairers,39720
"Precision Instrument and Equipment Repairers, All Other",56570
"Maintenance and Repair Workers, General",39360
Wind Turbine Service Technicians,54360
"Coin, Vending, and Amusement Machine Servicers and Repairers",34860
Commercial Divers,53990
"Fabric Menders, Except Garment",27670
Locksmiths and Safe Repairers,42180
Manufactured Building and Mobile Home Installers,31030
Riggers,49030
Signal and Track Switch Repairers,62710
"Helpers--Installation, Maintenance, and Repair Workers",29370
"Installation, Maintenance, and Repair Workers, All Other",41810
First-Line Supervisors of Production and Operating Workers,61450
"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",52530
"Coil Winders, Tapers, and Finishers",35340
Electrical and Electronic Equipment Assemblers,33700
Electromechanical Equipment Assemblers,35410
Engine and Other Machine Assemblers,43090
Structural Metal Fabricators and Fitters,40000
Fiberglass Laminators and Fabricators,33020
Team Assemblers,32550
Timing Device Assemblers and Adjusters,42470
"Assemblers and Fabricators, All Other",31050
Bakers,27110
Butchers and Meat Cutters,31740
"Meat, Poultry, and Fish Cutters and Trimmers",25510
Slaughterers and Meat Packers,27040
"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",30970
Food Batchmakers,30130
Food Cooking Machine Operators and Tenders,30330
"Food Processing Workers, All Other",25800
"Computer-Controlled Machine Tool Operators, Metal and Plastic",39590
"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",53560
"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",35340
"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",38710
"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",41900
"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",34210
"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",38880
"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",34920
"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",39630
"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",41180
Machinists,43220
Metal-Refining Furnace Operators and Tenders,41840
"Pourers and Casters, Metal",37300
"Model Makers, Metal and Plastic",50360
"Patternmakers, Metal and Plastic",44490
Foundry Mold and Coremakers,36030
"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",32660
"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",36190
Tool and Die Makers,51610
"Welders, Cutters, Solderers, and Brazers",42450
"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",38380
"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",39010
"Layout Workers, Metal and Plastic",47720
"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic",33690
"Tool Grinders, Filers, and Sharpeners",38860
"Metal Workers and Plastic Workers, All Other",35780
Prepress Technicians and Workers,40640
Printing Press Operators,37460
Print Binding and Finishing Workers,33270
Laundry and Dry-Cleaning Workers,23210
"Pressers, Textile, Garment, and Related Materials",22270
Sewing Machine Operators,25830
Shoe and Leather Workers and Repairers,26040
Shoe Machine Operators and Tenders,26530
"Sewers, Hand",25630
"Tailors, Dressmakers, and Custom Sewers",30670
Textile Bleaching and Dyeing Machine Operators and Tenders,28480
"Textile Cutting Machine Setters, Operators, and Tenders",27860
"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",28380
"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",28110
"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",35420
Fabric and Apparel Patternmakers,48460
Upholsterers,34640
"Textile, Apparel, and Furnishings Workers, All Other",30830
Cabinetmakers and Bench Carpenters,34800
Furniture Finishers,32330
"Model Makers, Wood",47480
"Patternmakers, Wood",47850
"Sawing Machine Setters, Operators, and Tenders, Wood",29960
"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",29850
"Woodworkers, All Other",31780
Nuclear Power Reactor Operators,91370
Power Distributors and Dispatchers,81500
Power Plant Operators,73800
Stationary Engineers and Boiler Operators,61410
Water and Wastewater Treatment Plant and System Operators,47930
Chemical Plant and System Operators,59430
Gas Plant Operators,67980
"Petroleum Pump System Operators, Refinery Operators, and Gaugers",67870
"Plant and System Operators, All Other",55340
Chemical Equipment Operators and Tenders,50300
"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",41450
"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",36050
"Grinding and Polishing Workers, Hand",30860
"Mixing and Blending Machine Setters, Operators, and Tenders",37630
"Cutters and Trimmers, Hand",29580
"Cutting and Slicing Machine Setters, Operators, and Tenders",34000
"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",34370
"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",37600
"Inspectors, Testers, Sorters, Samplers, and Weighers",40340
Jewelers and Precious Stone and Metal Workers,42310
Dental Laboratory Technicians,40760
Medical Appliance Technicians,39880
Ophthalmic Laboratory Technicians,34220
Packaging and Filling Machine Operators and Tenders,30910
"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",34460
"Painters, Transportation Equipment",46270
"Painting, Coating, and Decorating Workers",32040
Semiconductor Processors,37890
Photographic Process Workers and Processing Machine Operators,31740
Adhesive Bonding Machine Operators and Tenders,34610
"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",30590
Cooling and Freezing Equipment Operators and Tenders,32100
Etchers and Engravers,34390
"Molders, Shapers, and Casters, Except Metal and Plastic",32590
"Paper Goods Machine Setters, Operators, and Tenders",38570
Tire Builders,42230
Helpers--Production Workers,26930
"Production Workers, All Other",32380
Aircraft Cargo Handling Supervisors,51900
"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",50160
